a antler	uma galhada
to loosen	afrouxar
To make ends meat	pra render uma mixaria
to make out	dar uns amassos
to mature	amadurecer
to melt, ooze	derreter
to merge	fundir
to opt	optar
to order (online)	encomendar
to pack	embalar
to parallel park	fazer baliza
To piss off	pirraçar
to please	agradar
to point out	salientar
to praise	enaltecer
to praise	louvar
to prescribe	receitar
to provide	proporcionar
to gather	recolher
to rest	repousar
To resurrect	ressuscitar
to growl	rosnar
to toast	torrar
To seduce	atiçar
to shine	lustrar
to mess with someone	tirar onda de alguem
to slander	caluniar
to smoke (food)	defumar
to snivel	fungar
to speak nonsense	falar asneira
to spray	pulverizar/borrifar
to spray (cooking)	untar
to spray paint	dar uma mão de tinta
to spread your ass	arreganhar a bunda
to sprout	brotar
To squeal/to snitch	cagüetar
to squeeze (liquids)	espremer
To straighten	ajeitar
to strive to	se empenhar em
"to stuff one&#x27;s face in"	se empanturrar
to stumble	tropeçar
to stutter	gaguejar
to subtract	subtrair
To tape	coladar
To the top dogs	no cafofo
to undertake	empreender
to undress	a despir-se
to blossom	desabrochar
To welcome	acolher
to whisper	cochicar
to whistle	apitar/assobiar
to wither	murchar
to wrap (present)	embrulhar
to wreck	naufragar / arrebentar / arregaçar
to yearn	ansiar
tolls	pedágios
train tracks	trilhos de trem
troubling days	dias conturbados
turtleneck	a gola alta
to unravel	desfiar
This is somebody else's responsibility	Isto é alheio à responsabilidade
unspeakable sympathy	indizível simpatia
unusual	inusitado
upholstery	estofo
vanity	vaidade
vem	brota
Waterfalls of Iguaçu	Cataratas do iguaçu
waterslide	toboágua
what a lady	que donzela
What about	E quanto a
whipped cream	chantilly
whoring bitch	meretriz do cão
windmill	moinho de vento
wisdom tooth	dente de siso
without a doubt	sem sombra de dúvida
without further ado	sem mais delongas
women are sharp	mulheres são nítidas
wrinkles	rugas
writing desk	escrivaninha
you and the whole world	você e a torcida inteira do flamengo
You bailed me out	Quebrou um galhão pra mim
you have to put up with women	tem que aturar mulher
"You keep talking like that and I&#x27;ll fall for you"	vc falando assim eu fico caidinho por voce
you must be drowning in women	deve estar regadão de mulher
you suck	voce é uma troxa
"You&#x27;ll see that it&#x27;s far out"	Tu vai ver qual é a onda
"You&#x27;re going to chicken out"	tu vai negar fogo
zero stress	zero de aperreio
leash	a coleira
to schedule	agendar
to be disabled	ser deficiente
temporary job	bico (BR) / biscate (EU)
to have oral sex	fazer bico (EU)
cupcake	queque (EU)
a shag	uma foda / uma queca (EU)
at the end of the day	ao fim e ao cabo (EU)/no final de contas (BR)
scooter	patinete (BR)/trotinete (EU)
police baton	cassetete
nickname	alcunha (EU)
a penis	uma pica
vagina	rata (EU)
drying rack	varal (BR) / estendal (EU)
shoelaces	cadarço (BR)/atacadores (EU)
display window	vitrine (BR)/montra (EU)
turnstile	catracas
styrofoam	isopor (BR)/esferovite (EU)
mussel	mexilhão
branch	o galho
cloth	o pano
difficult situation	perrengue
sled	um trenó
to rejuvenate	rejuvenescer
camel toe	pata de camelo
the horn (car)&nbsp;	a buzina
the tab (computer)	a aba
to snack	petiscar/lanchar
holy water	agua benta
"it&#x27;s over"	é vapo vapo
the hardwork	o empenho
the counter	o balcão
to light up	acender
chessboard	o tabuleiro de xadrez
therefore	portanto
to get away with something	se safar
to stamp	carimbar
a line of coke	carreira de cocaina&nbsp;
<div>rare / medium rare / medium / medium well / well done</div>	<div>mal passado / um pouco mal passado&nbsp;/ ao ponto&nbsp;/ no ponto para bem passado&nbsp;/ bem passado</div>
ledge	o parapeito
eye gunk	ramelas
we're on the right course	estamos no&nbsp;rumo&nbsp;certo
a tantrum	uma birra
to overwhelm	assoberbar
piggyback	às cavalitas
customs	alfândega
to check in the suitcase	despachar a mala
grumpy	rabugento
to take off	aterrar / pousar&nbsp;
to turn on blinkers	fazer pisca
to change lanes	mudar de faixa
to slip	escorregar
mud	a lama
to float	flutuar
to burst	rebentar
to peek	espreitar
to perform (an action)	efectuar
doohickey	treco
to pour (liquid)	verter
lab coat	jaleco
lab flask	O frasco
to unbutton	desabotoar
to be a home wrecker	ser fura olha
to dump	despejar
proof	comprovante
address	logradouro
it's fucking delicious!	esta cojonudo!
to get heatstroke	pegar insolação
a hula hoop	um bambolê
to spill	derramar
