uma galhada,a antler
tampar,to cover
dar caibra,to cramp
almejar,to crave
dizimar,to decimate
ofuscar,to dim
desapontar,to disappoint
despachar,to dispatch
despistar,To distract
dar uma espairecida,to distract yourself
estar de bobeira,to do nothing
fazer um espacate,to do the splits
pingar,to drip
abafar,to drown out
pitar,to eat (Angola)
fazer minete,to eat pussy
bordar,to embroider
ressaltar,to emphasize
perdurar,to endure
emaranhar,to entangle
prorrogar/prorrogação,to extend / extension
passar o rodo,To exterminate
jejuar,to fast
arquitetar,to figure out
bajular,to flatter
xavecar,to flirt
puxar o autoclismo (EU)/a descarga (BR),to flush the toilet
encaminhar uma mensagem,to forward a message
enquadrar / emoldurar,to frame
franzir,to frown
se enjoar de,to get sick of
contornar,to go around
perder a linha,to go overboard
arreganhar,to grin
jorrar,To gush
tapear,to half ass
plantar bananeira,to handstand
ter cartas nas mangas,to have tricks up your sleeves
dar uma moral,to help
entocar,To hide
dar ideia nela,to hit on her
pegar carona,to hitchhike
encoxar,To hump
se despachar,to hurry up
indagar,to inquire
fiscalizar,to inspect
entrelaçar,to intertwine
pra tomar conta de você,To keep an eye on you
constar,to keep in mind
tricotar,to knit
rotular,to label
meter o pé,to leave
alargar,to lengthen
afrouxar,to loosen
fidelizar,to loyalize
pra render uma mixaria,To make ends meat
dar uns amassos,to make out
amadurecer,to mature
derreter,"to melt, ooze"
fundir,to merge
optar,to opt
encomendar,to order (online)
embalar,to pack
fazer baliza,to parallel park
efectuar,to perform
pirraçar,To piss off
agradar,to please
salientar,to point out
levar cutucada,to poke
"verter, despejar",to pour
enaltecer,to praise
louvar,to praise
receitar,to prescribe
proporcionar,to provide
recolher,to recall
descontrair,To relax
repousar,to rest
ressuscitar,To resurrect
rosnar,to roar
torrar,To roast
atropelar,to run over
atiçar,To seduce
lustrar,to shine
tirar onda de alguem,to mess with someone
caluniar,to slander
Defumar,To smoke
fungar,to snivel
falar asneira,to speak nonsense
pulverizar/borrifar,to spray
untar,to spray (cooking)
dar uma mão de tinta,to spray paint
arreganhar a bunda,to spread your ass
brotar,to sprout
cagüetar,To squeal/to snitch
espremer,to squeeze
ajeitar,To straighten
se empenhar em,to strive to
se empanturrar,to stuff one's face in
tropeçar,to stumble
gaguejar,to stutter
subtrair,to subtract
fazer um agrado,to sweet talk after a fight
coladar,To tape
no cafofo,To the top dogs
empreender,to undertake
a despir-se,to undress
desabrochar,to unravel
desgrudar,to unstick
acolher,To welcome
chicotear,to whip
cochicar,to whisper
apitar/assobiar,to whistle
murchar,to wither
embrulhar,to wrap (present)
arregaçar,to wreck
naufragar,to wreck
ansiar,to yearn
pedágios,tolls
trilhos de trem,train tracks
macetes,Tricks
dias conturbados,troubling days
a gola alta,turtleneck
desfiar,unravel
alheios,unrelated
indizível simpatia,unspeakable sympathy
inusitado,unusual
estofo,upholstery
vaidade,vanity
brota,vem
uma fusca,volkswagon beatle
Cataratas do iguaçu,Waterfalls of Iguaçu
toboágua,waterslide
vamos ser ricos pacas,we're going to be rich as hell
que donzela,what a lady
E quanto a,What about
chantilly,whipped cream
meretriz do cão,whoring bitch
moinho de vento,windmill
siso,wisdom
sem sombra de dúvida,without a doubt
sem mais delongas,without further ado
mulheres são nítidos,women are sharp
rugas,wrinkles
escrivaninha,writing desk
você e a torcida inteira do flamengo,you and the whole world
Quebrou um galhão pra mim,You bailed me out
tem que aturar mulher,you have to put up with women
vc falando assim eu fico caidinho por voce,You keep talking like that and I'll fall for you
deve estar regadão de mulher,you must be drowning in women
Tu mete a foice,You shoot me down
voce é uma troxa,you suck
Tu vai ver qual é a onda,You'll see that it's far out
tu vai negar fogo,You're going to chicken out
zero de aperreio,zero stress
a coleira,leash
agendar,to schedule
ser deficiente,to be disabled
sítio,farm (BR)/place (EU)
bico (BR)/biscate (EU),temporary job
fazer bico (EU),to have oral sex
queque (EU),cupcake
uma queca (EU),uma foda
ao fim e ao cabo (EU)/no final de contas (BR),at the end of the day
patinete (BR)/trotinete (EU),scooter
cassetete,police baton
alcunha (EU),nickname
uma pica,a penis
rata (EU),vagina
varal (BR) /estendal (EU),drying rack
cadarço (BR)/atacadores (EU),shoelaces
vitrine (BR)/montra (EU),display window
catracas,turnstile
isopor (BR)/esferovite (EU),styrofoam
mexilhão,mussel
o galho,branch
o pano,cloth
perrengue,difficult situation
um trenó,sled
rejuvenescer,to rejuvenate
o prefeito,the mayor
se avariar,to break down
pata de camelo,camel toe
the horn (car),A buzina
a aba,the tab (computer)
petiscar/lanchar,to snack
agua benta,holy water
é vapo vapo,it's over
o empenho,the hardwork
o balcão,the counter
torto,crooked
acender,to light up
o tabuleiro de xadrez,chessboard
portanto,therefore
