dirty things (sex)	trucs salaces
during	au cours de
over the years	au cours des ans
Beyond	au delà de
above	au dessus
gradually	au fur et à mesure
according to	au fur et à mesure de
gradually as	au fur et à mesure que
as well as	au même titre que
in the middle	au milieu
in terms of	au niveau de
on a side note	au passage
off the top of your head	au pif
ASAP	au plus rapide/au plus crisse (canada)
In regards to	au regard de
Help!	au secours
figuratively	au sens figuré
beyond	au-delà
beyond this date	au-delà de cette date
above	au-dessus
no doubt about it	aucun doute là-dessus
in no way	aucunement
near	auprès de
with you	auprès de vous
in which case	auquel cas
as interesting as	aussi intéressant que
that fast	aussi vite
immediately	aussitôt
as much	autant de
as much as	autant que
sticker	autocollant
independent	autonome
in the old days	autrefois
otherwise	autrement
others	autrui
swallow/to get down food	avaler
to venture	aventurer
to warn	avertir
blind	aveugle
to have in mind	avoir bien en tête
to look healthy	avoir bonne mine
to have abs	avoir des abdos/avoir un six pack (canada)
to have fun	avoir du fun (canada)
to be lucky	avoir du pot
to be used to	avoir l&#x27;habitude
to feel like	avoir l&#x27;impression de
to have luck	avoir la baraka
I have a bad cold	avoir la crève
to be very hungry	avoir la dalle
to be hungover	avoir la gueule de bois
to be knowledgeable of plants	avoir la main verte
to be pissed off	avoir le seume
to have a headache	avoir mal au crâne ?
to be unable to speak	avoir un chat dans la gorge
to fall in love easily	avoir un coeur d&#x27;artichaut
to be slightly hungry	avoir un petit creux
to focus	axer
breathtaking	à couper le souffle
to go (ordering)	à emporter
with regard to	à l&#x27;égard de
nothing fancy / sans chi chi	à la bonne franquette
mass produced	à la chaîne
instead of	à la place de
looking for a job	à la recherche d&#x27;un emploi
in the evening	à la veillée
"to it&#x27;s own right	à part entier
from	à partir de
from now on	à partir de cet instant
from now on	à partir de maintenant
as far as the eye can see	à perte de vue
without his knowing	à son insu
see you later	À tantôt (canada)
loosely (figuratively)	à tort et à travers
at all costs	à tout prix
around	àux alentours de
to tarnish	bafouer
to fight	bagarrer
school, taxi, truck	bahut
to bathe	baigner
to yawn	bailler
to lower	baisser
to sweep	balayer
ball/bullet	balle
euros	balles
to have a hard on	Bander
to banish	bannir
barbaric	barbare
to bar	barrer
to toggle	basculer
sneakers	baskets
talkative	bavard
to talk	bavarder
to drool	baver
to build	bâtir
beak	bec
to eat	becqueter
to eat	becqueter/grailler
donut	beignet
attention	Belek
weed	beuh
to stutter	bégayer
to benefit	bénéficier
volunteer	bénévole
to bless	bénir
stupid	bête(teubê)
much worse	bien moins bon
wuz good my G	bien ou quoi chacal
although	bien que
well being	bien-être
public property	biens publics
to dick slap	bifler
jewelry, gem	bijoux
jaded	blasé
armored	blindé
blah	bof
Voice mail	boite vocal
case	boîtier
enjoy watching it	bon visionnage
good places	bonnes adresses
messy	bordélique
to limit	borner
hard worker	bosseur acharné
bite	bouchée
to buckle/loop	boucler
to garble	bouffer
swollen	bouffi
candle	bougie
to upset	bouleverser
lint	bouloche
to eat without thinking too much	boulotter
to stuff	bourrer
full of parasites	bourré de parasites
to shove/rush	bousculer
piece	bout
shops	boutiques
to plug in	brancher
to brandish	brandir
to rob	braquer
sheep	brebis
to tinker	bricoler
briefly	brièvement
bun	brioche
to break	briser
to scramble	brouiller
to cover your tracks	brouiller les pistes
abruptly	brusquement
raw	brut
noisy	bruyant
burning	brûlure
to stumble, kill	buter
from then on that	c&#x27;est ainsi que
"it&#x27;s that bad, it&#x27;s to that point	"c&#x27;est à ce point
"it&#x27;s a close one/sketchy	"c&#x27;est chaud
"c&#x27;est bien	"c&#x27;est correc (canada)
"it&#x27;s stupid	"c&#x27;est débile
"it&#x27;s fire/fuego	"c&#x27;est du lourd
"it&#x27;s great	"c&#x27;est écœurant (canada)
it's greasy	c&#x27;est gras/c&#x27;est cochon (canada)
"it&#x27;s a good deal	"c&#x27;est intéressant
"it&#x27;s the end of the world	"c&#x27;est la fin des haricots
"it&#x27;s the least of things	"c&#x27;est la moindre des choses
"it&#x27;s kind of...	"c&#x27;est limite...
"it&#x27;s my thing	"c&#x27;est ma came
"it&#x27;s not the best	"c&#x27;est pas top
"it&#x27;s the exact year	"c&#x27;est pile l&#x27;année
what the heck	c&#x27;est quoi ce bordel
"it&#x27;s tight	"c&#x27;est serré
"it&#x27;s a mess	"c&#x27;est un bordel
he's rotten	c&#x27;est un pourri
she a hottie	c&#x27;est une bombe/frappe
"it&#x27;s bullshit	"c&#x27;est une connerie
it was fire/lit	c&#x27;était le feu
"I don&#x27;t mind eating it	ca me gêne pas de le mange
padlock	cadenas
to give someone attention	calculer
pun	calembour
to burgle	cambrioler
to camouflage	camoufler
prank	un canular
to be impatient, excited, angry, annoyed, crazy	capoter (canada)
condoms	capotes
to capture	capter
pen cap	le capuchon
tile	carreau
to trick/swindle	carroter
yellow card	carton jaune
ink cartridge	cartouche d&#x27;encre
get lost	casse-toi
to break	casser
wine shop	caviste
to cuddle	câliner
this gear	ce matos
this dump	ce taudis
it may seem crazy to you	cela peut vous sembler fou
supposed	censé
cents	centimes
to center	centrer
to identify	cerner
to ascertain	cerner
Some of you	certains d&#x27;entre vous
certainly, of course (super formal)	certes
to give up your seat	céder sa place
homeboy, you gossiped alot	chacal t&#x27;as bien kouma
warm	chaleureux
blowtorch	chalumeau
candle	chandelle
"to change one&#x27;s mind	"changer d&#x27;avis
sick!	chanmé
to sing without knowing the lyrics	chanter en yaourt
giberish	charabias
to hunt	chasser
to heat	chauffer
lime	chaux
mouth	che-bou/bouche
ugly	cheum (moche)
reverse cowgirl	cheval inversé
to ride	chevaucher
at my place	chez ouam (chez moi)
goats	chèvres
I do not know	ché ap (je sais pas)
to shit	chier
revenue	chiffre d&#x27;affaire
to put a number on	chiffrer
sissy	chochotte
to catch (slang)	choper
pamper	chouchouter
regarde	chouf
a little	Chouiya
Christian	chrétien
to whisper	chuchoter
to plummet	chuter
to target	cibler
cemetery	cimetière
cinema	cinéma=ciné
citizen	citoyen
to slam/snap (fingers)	claquer
slides	claquettes
to classify	classer
binder	classeur
to lock	cleffer
dog	clébard
to blink	cligner
cigarette	clope, sèche
to close off	clore
teammates	coéquipiers
to jam	coincer
stuck	coincé
parcel	colis
turtlenecks	cols roulés
wet suit	combinaison de plongée
to fill in	combler
fill the void	combler le vide
comical	comique
like that	comme as (comme ça)
Like all of you	Comme vous tous
trader	commerçant
to commit	commettre
to appear	comparaître
to dial a number	composer un numéro
including	compris
to compromise	compromettre
to plan	compter
to consult	concerter
to create	concevoir
to conclude	conclure
cucumber	concombre
in concrete terms	concrètement
to carry out	concrétiser
competitive	concurrentiel
to condemn	condamner
condemn	condamner
to confide a secret	confier un secret
to confine	confiner
to confuse	confondre
in accordance with	conformément à
day off	congé
bullshit	connerie
to conquer	conquérir
devote	consacrer
to devote to	consacrer à
to consent	consentir
instructions	consignes
to consist of	consister à
constantly	constamment
to note	constater
to satisfy	contenter
contents	contenu
to bypass	contourner
to compel, constrain	contraindre
contrary to	contrairement à
to annoy	contrarier
to upset	contrarier
against all expectations	contre toute attente
rewards	contreparties
to counter	contrer
offender	contrevenant
controversial	controversé
convincing	convaincant
to convince	convaincre
suitable	convenable
to agree	convenir de
friendliness	convivialité
to coordinate	coordonner
wastepaper basket	corbeille
to correspond	correspondre
to corrupt	corrompre
to quote/rate	coter
sunset	coucher de soleil
to sew	coudre
to sink/flow	couler
love at first sight	coup de foudre
current	courant
alternating current	courant alternatif
crown	couronne
to crown	couronner
to cost a shit ton	couter la peau du cul
expensive	coûteux
to spit/to talk badly about someone	cracher
to fear	craindre
fearful	craintif
to screw up	cramer
to march	crapahuter
to smoke without inhaling	crapoter
to crack	craquer
to dig	creuser
to build momentum	créer un élan
riddled with holes	criblée de trous
to cross	croiser
to run into people	croiser des gens
arm cross, iron cross, if I lie, I go to hell	croix de bras, croix de fer, si je mens, je vais en enfer
to grow	croître
to grow as a person	croître comme personne
to munch	croquer
to crunch	croquer
crispy	croustillant
corny	cucul
leather	cuir
to cook/bake	cuire
cynical	cynique
"that&#x27;s hot (slang)	"ç&#x27;est chaud ça
"it&#x27;s cold af	ça caill
"There&#x27;s nothing complicated to it	ça casse trois pattes à un canar
that works (slang)	ça colle
it attracts	ça draine
"how&#x27;s it going?	ça gaze
it didnt work for me	ça m&#x27;a pas réussi
that seemed to me	ça m&#x27;a semblé
it slipped my mind	ça m&#x27;est sorti de la tête
that gets me fired up	ça me crinque
it makes me feel good	ça me fait du bien
that triggers me	ça me trigger
it suits me	ça me va
never mind	ça ne fait rien
"it&#x27;s up to you	"ça ne tient qu&#x27;a vous
"it doesn&#x27;t look good but it&#x27;s good	ça paye pas de min
it works for me	ça roule ma poule
maybe	ça se trouve
it shows that	ça se voit que
gimme a minute	ça sera pas long (canada)
Does it ring a bell?	ça te dit quelque chose?
good timing	ça tombe bien
"it&#x27;s their charm	c’est leur kif
according to	d&#x27;après
at heart	dans l&#x27;âme.
in denial	dans le déni
more connected to the organization	davantage branché sur l&#x27;organisation
basic	de base
initially	de base/à la base
on the other hand	de l&#x27;autre côté
as well as	de même que
From nowhere	de nulle part
totally!	de ouf
such	de tels
sometimes	de temps en temps
in person	de vive voix
inside Outside	dedans dehors
to live	demeurer
to remain	demeurer
young lady	demoiselle
for a while	depuis un moment
recently	dernièrement
lmfao	des barres
suspenders	des bretelles
trouble	des ennuis, le pétrin
quotation marks	des guillemets
wrinkles	des rides
Huge sums	des sommes faramineuse
to serve	desservir
to draw	dessiner
destiny	destin
debts	dettes
one sec!/real quick!	deuspi/2spi (speed)
to have to go	devoir se rendre
as soon as I can	dès que je peux
to disembark	débarquer
to rid	débarrasser
to debate	débattre
to clear	déblayer
to overflow	déborder
to end up with	déboucher sur
to untangle	débrouiller
postpone	décaler
to detect	déceler
to award	décerner
disappointing	décevant
death	décès
to decease	décéder
to unload	décharger
waste	déchet
to shred	déchiqueter
to tear	déchirer
to rant	déclamer
declare his love to someone	déclarer sa flamme a quelqu&#x27;un
to trigger	déclencher
to take off	décoller
to unwind	décompresser
to relax	décontracter
to result from	découler de
to cut/carve	découper
to discourage	décourager
discovery	découverte
to decree	décréter
to put down (emotionally)	décrier
to unhook	décrocher
to pick up the phone	décrocher
to dedicate	dédier
compensation	dédommagement
deduct/deduce	déduire
to defend	défendre
to challenge	défier
to march/parade/scroll	défiler
to let off steam	défouler
to be cleared	défricher
to emit	dégager
to clear up	dégager
damage	dégât
to disgust	dégoûter
to disguise	déguiser
to enjoy (food-wise)	déguster
itching	démangeaisons
to dismantle	démanteler
to activate	démarrer
to deny	démentir, nier
to move to	déménager à
to resign	démissioner
to resign	démissionner
to smoke out	dénicher
to troubleshoot	dépanner
to surpass	dépasser
to exceed the limits	dépasser les limites
to skin	dépecer, écorcher
to spend	dépenser
to wither away	dépérir
to dispatch	dépêcher
uncalled for	déplace
to displease	déplaire
to drop off	déposer
to strip	dépouiller
to derail	dérailler
disturbing	dérangeant
to bother	déranger, turlupiner, embêter, gêner
to drift away	dériver
to steal	dérober
to unroll	dérouler
defuse	désamorcer
to grieve	désoler
henceforth, from now on	désormais/dorénavant
to give detail	détailler
to loosen	détendre
relaxed	détendu
relaxation	détente
determined	déterminé/déter
to divert	détourner
to destroy	détruire
to reveal	dévoiler
to devour your food	dévorer
to devote	dévouer
spread/broadcast	diffuser
to digest	digérer
to decrease	diminuer
to manage a team	diriger une équipe
to disappear	disparaître
to arrange	disposer
to conceal	dissimuler
to dissipate	dissiper
to dissolve	dissoudre
to divide	diviser
a liar (african french?)	Djadja
Finger me	Doigte-moi
to tame	dompter
to give up	donner sa langue au chat
whose	dont
golden	doré
from now on	dorénavant
to endow	doter
customs	douanes
double ply	double épaisseur
to dub	doubler
gently	doucement
sweets	douceurs
puffy jacket	doudoune
gifted	doué
soft,sweet	doux
a dispute	drah
to draw up	dresser
so, therefore, as a result	du coup
some dope	du shit
asshole	ducon
to energize	dynamiser
to erase	effacer / gommer
to carry out	effectuer
performed	effectué
to brush against	effleurer
to frighten	effrayer
she ended up learning english	ella a fini par apprendre l&#x27;anglais
She really fell in love with the dress	Elle a vraiment eu un coup de coeur pour la robe
She bad	Elle est bad
she fugly	elle est cheum/éclaté
"she&#x27;s taken	elle est maqué
to wrap (packaging) / to french kiss	emballer
to hire	embaucher
iconic	emblématique
to press	embobiner
to confuse	embrouiller
to hassle	emmerder
to move in	emménager
to stuff	empailler
prevent	empêcher
to get worse	empirer
to imprison	emprisonner
to borrow	emprunter
backward	en arrière
below	en bas
doggy style	en catchana/la levrette/à 4 pattes
in summer camp	en colonie
into account	en compte
in return	en contrepartie
underneath, below	en dessous
messy	en désordre
in entirety	en entier
at the end of the day	en fin de journée
depending on	en fonction de
in terms of	en fonction de
on top	en haut
in terms of	en matière de
on average	en moyenne
by the way	en passant
in the heart of nature	en plein dans la nature
in addition to	en plus de
in shoe size	en pointure
in a manner of speaking	en quelque sorte
in relation to	en rapport à
holding back our breath	en retenant notre souffle
On the other hand	En revanche
In general	en règle général
knowing that	en sachant que
in itself	en soi
in any case	en soit
so that	en sorte que
as	en tant que
as such	en tant que tel
in any case	en tout cas
to cash out	encaisser
pregnant	enceinte
to chain	enchaîner
against	encontre
to damage	endommager
to put asleep	endormir
to scam	enfler, escroquer
to press in	enfoncer
to infringe	enfreindre
to hire	engager
to procreate	engendrer
to encompass	englober
to remove	enlever
to take off	enlever
to investigate	enquêter sur
to enrich	enrichir
to wrap (round stuff)	enrouler
to begin	entamer
hear through gossip/rumors	entendre dire
to bury	enterrer
enthusiastic	enthousiaste
to tangle	entortiller
to surround	entourer
to hinder	entraver
in the meantime	entre-temps
to undertake	entreprendre
to maintain	entretenir
job interview	entretien d&#x27;embauche
to glimpse	entrevoir
to invade	envahir
to envelop	envelopper
towards	envers
About two	environ deux
to consider the future	envisager l&#x27;avenir
exhausted	epuisé
to wonder	errer
wrong	erroné
to expect	escompter
scammers	escrocs
to wipe	essuyer
next step	etape suivante
to be dead	etre décédé
to be mourning	etre en deuil
to be smart	etre futé
to be handcuffed	etre menotté
to be as flat as a pancake	etre plate comme un limande
to be crazy	etrê taré
to exclude	exclure
to urge	exhorter
to dispatch	expédier
to atone	expier
to exploit	exploiter
to explode	exploser
on purpose	exprès
exquisite	exquise
to extract	extraire
extroverted	extraverti
to rattle	ébranler
to discard	écarter
to exchange	échanger
to escape	échapper
to clarify	éclaircir
to light up	éclaire
to illuminate	éclairer
to burst	éclater
to burst out laughing	éclater de rire
to burst into tears	éclater en sanglots
sickened	écoeuré
eco-friendly	écolo
bark	écorce
selling out	écouler
to crush/overwrite	écraser
to build	édifier
equality	égalité
scratch	égratignure
to elaborate/create	élaborer
to widen	élargir
to elect	élire
speech	élocution
to ward off	éloigner
to emanate	émaner
renowned	éminent
emotional	émotif
move (emotionally)	émouvoir
enunciate/state	énoncer
thick	épais
blossoming	épanoui
to save money	épargner de l&#x27;argent
to spell	épeler
mop up	éponger
appalling	épouvantable
to experience	éprouver de
to exhaust	épuiser
horse riding	équitation
to equivalate to	équivaloir a
to erect (building-wise)	ériger
to establish	établir
shelves	étagères
to spread	étaler
to turn off	éteindre
to spread	étendre
to stretch	étirer
shooting Stars	étoiles filantes
astonishing	étonnant
to choke/smother	étouffer
narrow	étroit
to stimulate	éveiller
to fan	éventer
eventually	éventuellement
event	événement
to evolve	évoluer
to recall	évoquer
to be addicted	être accro
to be seated	être attablé
to be on the verge of doing something	être à deux doigts de faire quelque chose
to be all in/to go hard	être à fond
to be safe	être à l&#x27;abri
to be spacing out	être à l&#x27;ouest
to be boring	être barbant
to be fake	être bidon
to be in love with someone	être bleu de quelqu&#x27;un
to be nuts	être cinglé
to be in cahoots	être de mèche
to be resourceful	être débrouillard
to be hammered	être déchiré
to be angry	être en colère
to be booming	être en plein essor
to be kidnapped	être enlevé
to be amazed	être épaté
to be sensitive to the cold	être frileux/frileuse
to be pissed	être furax
to be rude	être grossier
to be uncompromising	être intransigeant
to be lost	être paumé
to be tipsy	être pompette
to be back in the saddle	être remonté  en selle
to be legitimate	être réglo
to be on thin ice	être sur la corde raide
to be all ears	être tout ouïe
to be a couch potato	être un légume
to be targeted	être visé
in front of	face à
to ease	faciliter
to charge	facturer
optional	facultatif
low cost	faible coût
to fail to	faillir à
lazy	fainéants
to squirt	fair gicler
to smudge	faire baver
to piss off	faire chier
to guilt trip	faire culpabiliser
to do some maintenance work	faire de travaux
to do situps	faire des abdominaux/abdos
to have sex (sexually)	Faire des galipettes
to tickle/fool around	Faire des gouzis, faire des papouilles
to have dreams	faire des rêves
to take a nap/sleep	faire dodo
to blackmail	faire du chantage
to hitchhike	faire du stop
to be careful	faire gaffe
to woo someone	faire la cour à quelqu&#x27;un
to party	faire la fête
to sleep in	faire la grasse matinée
to sulk, to be upset	faire la gueule
to focus (camera)	faire le point
to go shopping	faire les magasins
to dangle	faire miroiter
to do 50/50	faire moit moit
to be part of	faire partie de
to grow fruits	faire pousser des fruits
to lobby	faire pression
to demonstrate	faire preuve
to pretend to	faire semblant de
"to take it&#x27;s toll	faire son oeuvre
to drop	faire tomber
make a wish	faire un voeux
to take a break	faire une pause
Get tested	Fais toi dépister
let me see	fais voir
do me a handjob	Fais-moi une branlette
do not	fallait pas
host family	famille d&#x27;accueil
to stuff	farcir
burden	fardeau
wacky	farfelue
shy/wild	farouche
otherwise	faute de quoi
Wheelchair	fauteuil roulant
favorite	favori
to promote	favoriser
to promote	favoriser de
firmly	fermement
firmly	fermement
Railway	ferroviaire
fertility	fécondité
to congratulate	féliciter
fierce	féroce
to celebrate	fêter
reliable	fiable
to file	ficher
faithful	fidèle
proud	fier
to clot, coagulate	figer
to tweak	fignoler
to represent	figurer
to give (slang)	filer
to spin	filer
to leave (in a polite way)	filer
subsidiaries, branches	filiales
tax	fiscale
torch	flambeau
to stroll	flâner
to stroll without a specific destination	flâner
to float	flotter
hay	foin
dark	foncé
founded by	fondé par
to melt	fondre
necessarily	forcément
necessarily	forcément
to drill	forer
formal	formel
to rummage	fouiller
to poke around	fouiner
he sprained his ankle	il s&#x27;est foulé la cheville
deceit	fourberie
to provide	fournir
to stuff	fourrer
the impound	fourrière
bullshit!	foutaises!
raspberry	framboise
to cross	franchir
to cross the threshold	franchir le seuil
french origin (expression controversée)	français de souche
bro	frangin, frérot
sis	frangine
hit by lightning	frappé par la foudre
to kiss	frencher (canada)
to show off	frimer
to fry	frire
crumple	froisser
wheat	froment
forehead	front
to rub	frotter
to run away	fuir
leak	fuiter
the goalie	gardien de but
to park	garer
to waste	gaspiller
waffle	gaufre
to arrest	gauler
force feeding	gavage
to spoil (food), to waste	gâcher
yea right	genre
to puke	gerber
giant	géant
to generate	générer
drager/to manage	gérer
awkward	gênant
to slap	gifler
gigantic	gigantesque
to wiggle	gigoter
to be doing nothing	glander
to slide/slip	glisser
to eat in one go	gober
rubber/gum	gomme
Inflate/to annoy	Gonfler
greedy	gourmand, avide
tasty	goûteux
to scratch	gratter
to ascend	gravir
frog	grenouille
toaster	grille-pain
to scold	gronder
rude/rough	grossier
to get bigger	grossir
roughly speaking	grosso modo
to swarm	grouiller
grated cheese	gruyère râpé
to look out	guetter
to heal	guérir
to guide	guider
clothes	habits
usually	habituellement
to get used to	habituer
to hate	haïr
to haunt	hanter
to harass	harceler
harassment	harcèlement
to raise	hausser
high	haut
top of the line	haut de gamme
loud speaker	haut parleur
hasty	hâtif/hative
weekly	hebdomadaire
to bump	heurter
to harbor	héberger
to host someone	héberger quelqu&#x27;un
to inherit	hériter
to hoist	hisser
to nod your head	hocher la tête
counterpart	homologue
counterpart	homologue
ladies First	honneur aux dames
shameful	honteux
schedule	horaire/emploi du temps
apart from	hormis
offside	hors-jeu
to howl	hurler
identical	identique
lgbqt neutral pronoun	iel
dog (yiaach)	iench(yiaach)
he has a sick ride	il a une caisse de malade
it's like that	il en est ainsi
he is lacking money	il est en galère d&#x27;argent
it is derived	il est issu
once upon a time	il était une fois
"it&#x27;s chilly	il fait frai
it rains alot	il flotte beaucoup
"he&#x27;s relou	il force lu
he swindled me	il m&#x27;a carotté
I need to leave (its beyond my control)	Il me faut partir
nobody is here	il n&#x27;y a pas un chat
He rarely talks about his job	Il ne parle guère de son travail
"it&#x27;s about that	"il s&#x27;agit de ça
what happened	il s&#x27;est passé quoi
he hooked up with marion	il s&#x27;est tapé marion
he made fun of her	il se foutait de sa gueule
it is possible that	il se peut que
It would be better	il vaut mieux
there is something fishy	il y a anguille sous roche
there are good days and bad days	il y a des jours avec et des jours sans
"There is something for everyone&#x27;s taste	il y en a pour tous les goût
there are a lot of criteria that come into account	il y’a pleins de critère qui rentre en compte
to illustrate	illustrer
they got me	ils m&#x27;ont eu
They say that	Ils paraient que
to immerse	immerger
filth	immondice
tax	impôt
stunning	imprenable
powerless	impuissant
to attribute	imputer
unfinished	inachevé
to incarnate	incarner
to include	inclure
to be undertaken on	incomber à
to charge, accuse	inculper
indigenous	indigène
to induce	induire
unusual	inédite
infinitely	infiniment
to inflict	infliger
influential	influent
to influence	influer
to eat quickly	ingurgiter
unusual	inhabituel
to flood	inonder
to register	inscrire
foolish	insensé
to insert	insérer
tasteless	insipide
to establish	instaurer
to institute	instituer
to instruct	instruire
internal and external	interne et externe
to question	interpeller
to call on	interroger
to interrupt	interrompre
to integrate	intégrer
intimate	intime
to intimidate	intimider
to title	intituler
to invert	inverser
to invest	investir
to isolate	isoler
itinerary	itinéraire
I barely understood	j&#x27;ai compris à peine
i crossed the line	j&#x27;ai dépassé les bornes
I have trouble understanding	j&#x27;ai du mal à comprendre/j&#x27;ai de la misère à comprendre (canada)
I heard that..	j&#x27;ai entendu dire que..
I was caught in the act	j&#x27;ai ete pris en flagrant délit
I was raised in Berlin	j&#x27;ai été élevé à Berlin
I almost..	J&#x27;ai failli + inf
I almost got scammed	J&#x27;ai failli me faire avoir
I almost got caught	J&#x27;ai failli me faire gauler
its so hot/I really liked it	j&#x27;ai grave chaud/je l&#x27;ai grave aimé
I dont feel like it	j&#x27;ai la flemme
I bit off more than I can chew	j&#x27;ai les yeux plus gros que le ventre
I screwed up	j&#x27;ai merdé
I worked a good amount	j&#x27;ai pas mal bossé
I have quite alot of work	j&#x27;ai pas mal de boulot
<div>The front of this card is blank.<br><a href='https://anki.tenderapp.com/kb/card-appearance/the-front-of-this-card-is-blank'>More information</a></div>	<div>The front of this card is blank.<br><a href='https://anki.tenderapp.com/kb/card-appearance/the-front-of-this-card-is-blank'>More information</a></div>
I have a ton of work	j&#x27;ai un max de boulot
"I&#x27;ll be right back	"j&#x27;arrive
I am fed up with everything	j&#x27;en ai marre de tout
"I&#x27;m fed up	"j&#x27;en ai marre/j&#x27;suis tané (canada)
"I&#x27;m fed up	"j&#x27;en ai ras le bol
I hope you liked it	j&#x27;espère que ça vous a plus
I was SO tired	j&#x27;étais au bout de ma vie
I was in flirty mode	j&#x27;étais en mode gros drageur
I was in party mode	j&#x27;étais en mode soirée
"I can&#x27;t beleive it!	"j&#x27;hallucine!
formerly	jadis
"I&#x27;m afraid I disagree	"je crains d&#x27;être en desaccord
"fuck it, I don&#x27;t have the answer)	je donne ma langue au cha
"I&#x27;d better try	"je ferais mieux d&#x27;essayer
"I&#x27;m freaking out	je flippe à mor
I got a bad feeling	je le sens mal
"I&#x27;m off	"je m&#x27;arrache
"I&#x27;ll take care of it	"je m&#x27;en charge
I would gladly do without	je m&#x27;en passerai volontiers
im running the cash register	je m&#x27;occupe de la caisse
I had a good laugh	je me suis bien marré
I apologized	Je me suis excusé
I screwed up	je me suis gouré
I was interested in	je me suis intéressé
I got carried away	je me suis laissé emporter
I started to cry	je me suis mis à pleurer
I went to	je me suis rendu a
I did not take into account	je n&#x27;ai pas tenu compte
Can I close your tab?	je peux vous encaisser?
"i&#x27;ll take over	je prends le relai
"I&#x27;m quite tall	je suis assez grand
I am in contact with him	je suis au contact de lui
I am retired	je suis à la retrait
"I&#x27;m good at video games	je suis calé en jeux vidéo
"I&#x27;m happy to be here	"je suis content d&#x27;être ici/j&#x27;capote d&#x27;être icitte (canada)
"I&#x27;m standing	je suis debou
I am motivated	je suis déterre
"I&#x27;m motivated	je suis déterr
"I&#x27;m pissed	je suis en a asse
"I&#x27;m on my way	je suis en chemin/rout
I am inclined to talk with you	je suis enclin à parler avec toi
I am wasted	je suis foncedé
I am uneducated	je suis inculte
"I&#x27;m worried	Je suis inquie
I am clumsy	je suis maladroit
"I&#x27;m sorry	je suis navr
"I&#x27;m up for anything	je suis partant pour tou
I am retired	je suis retraité
I am tired	je suis rincé
i am drunk	je suis soûl
"I&#x27;m sauced	je suis torch
I am so down	je suis trop chaud
I got you involved in this	je t&#x27;ai mêlée á ça
fuck you	je t&#x27;emmerde
I can not hear you	je t&#x27;entends pas
I give you my word	je te donne ma parole
"i&#x27;m putting you in the deep end	je te mets au pied du mu
